order_id,supplier_id,product_id,quantity,price_per_unit,order_date,delivery_date,status
1fc07023-4823-423e-9e34-c90b42496815,8241,157,6610,9229.34,2024-10-12 21:40:41,2024-05-28,Sample status 1101
c2038e52-8d6f-4e17-960b-11f9eca9cda8,3962,2338,9282,6722.65,2024-05-12 21:40:41,2023-11-16,Sample status 1
10e37ea6-5095-4051-8317-bee98ad23509,5595,1533,593,8321.3,2024-06-20 21:40:41,2023-12-12,Sample status 2
f93258ca-7bf7-418f-a8bb-73e2e137eb20,6628,1062,3692,6125.06,2024-01-06 21:40:41,2024-07-09,Sample status 3
2bba9c16-f0c7-4e9d-952e-e320647ec44d,1519,5630,2385,3435.51,2024-09-26 21:40:41,2024-03-15,Sample status 4
d71435c4-8a03-49ec-b318-0cc710400d05,2374,4105,9228,2689.95,2024-07-17 21:40:41,2024-04-03,Sample status 5
e316f3fe-a91d-41b0-bd8b-947eede4408e,7905,3076,1941,8043.83,2024-11-02 21:40:41,2024-04-29,Sample status 6
9e2259fc-3686-4ff2-9d5d-1644ceaa69f7,895,7813,2346,4516.64,2023-11-14 21:40:41,2024-06-28,Sample status 7
57818897-a530-4e26-81f9-f9066c1d5a4f,2612,3418,9165,7156.17,2024-09-02 21:40:41,2024-10-28,Sample status 8
ad0c3e45-2456-41d0-be2a-ebda544cd570,4878,2760,442,3739.63,2024-02-26 21:40:41,2023-11-14,Sample status 9
dc652511-3fd4-46b3-b592-14a528224cac,2363,7272,6151,7383.47,2023-12-02 21:40:41,2024-03-14,Sample status 10
1424388d-5144-4680-9033-04c85abc60ae,8772,3192,6144,2547.81,2024-08-05 21:40:41,2024-07-04,Sample status 11
86eb4d3d-9e84-4fee-a3ac-a9a1c3f9722e,7520,9615,3420,812.21,2024-06-29 21:40:41,2024-04-27,Sample status 12
06993f30-a8aa-42e8-8e7e-0b067f457c99,3847,3022,4280,3190.81,2024-08-13 21:40:41,2024-06-25,Sample status 13
4301a7c0-0593-4b6a-a011-4c6b52536206,4137,2307,8116,5764.46,2023-12-03 21:40:41,2024-09-11,Sample status 14
4e1d3a1c-99c8-47a5-81b1-74261a726aa7,1006,1334,491,7114.64,2024-02-09 21:40:41,2024-08-11,Sample status 15
c68fdb02-bd04-4346-a0b4-7b8203e26c51,6286,3417,5668,3752.14,2024-09-12 21:40:41,2024-11-01,Sample status 16
75bdc7fe-5e51-4b27-832f-693973f76291,5488,1113,6277,3806.86,2024-08-31 21:40:41,2024-04-21,Sample status 17
986de9fc-7f9c-42e3-89da-4a06fc56b480,1032,7792,5705,1182.71,2024-11-12 21:40:41,2024-09-24,Sample status 18
966276d6-860e-4a29-aecc-1fd69dd2d843,6021,4003,777,7255.78,2024-11-05 21:40:41,2024-08-12,Sample status 19
910e4707-690e-4790-a8bb-16039ecea6f3,1757,5830,3470,6282.49,2024-07-29 21:40:41,2024-02-12,Sample status 20
1c69f26e-bbfb-4f70-bb94-2ff2089ad5f5,9712,4963,8930,7534.82,2024-02-02 21:40:41,2024-03-28,Sample status 21
7c9f1b32-3600-4d1b-a780-857d45140de5,4396,8827,9526,9560.77,2024-08-25 21:40:41,2024-01-06,Sample status 22
94255445-0739-439b-9b33-bd952003569f,6098,2951,1309,1327.7,2023-12-15 21:40:41,2024-01-11,Sample status 23
5d0d34a6-0abb-4e37-ba2a-80b7798e8d8a,6048,209,4240,4254.14,2024-09-19 21:40:41,2024-06-17,Sample status 24
0d079f9a-bf47-4797-9610-48be7a969556,7381,7845,9431,6119.27,2024-02-27 21:40:41,2024-03-04,Sample status 25
dba87aa5-2f25-4833-8865-ffbbabf3efb7,5782,4806,3452,7122.9,2024-10-26 21:40:41,2023-12-04,Sample status 26
4b0cc572-e77b-4a7e-9975-d0260614a8a0,6881,4679,1758,8019.91,2024-08-03 21:40:41,2024-10-08,Sample status 27
bea5cc87-0568-4de4-ba9b-aa614b9531d8,4362,7147,1201,5639.24,2024-08-08 21:40:41,2024-08-20,Sample status 28
9dbb88d6-b44c-438b-94d2-2e6bd142f3e0,7511,149,7742,9829.65,2023-11-19 21:40:41,2024-05-19,Sample status 29
a3ed1840-c3b2-4793-b49d-0db05334428c,5065,7435,2525,1476.98,2024-08-27 21:40:41,2023-12-26,Sample status 30
d2f72cf7-2a41-426c-b554-b120fd4b577c,3980,6960,3649,8927.82,2024-08-12 21:40:41,2024-09-17,Sample status 31
90a7e1b3-37ef-41af-87c6-107154a6ff91,9998,4953,7973,2714.45,2023-11-30 21:40:41,2023-11-19,Sample status 32
83a2a9b0-c765-4b09-9699-8363977e65c9,7073,857,5250,841.67,2024-05-08 21:40:41,2024-08-26,Sample status 33
f793651b-6f54-49b5-b0ce-0c01b5d5e31b,3903,1405,659,2009.18,2024-05-30 21:40:41,2024-02-22,Sample status 34
825abea6-b452-485c-ab65-23e4fab96b94,1303,7386,7859,2154.34,2024-07-05 21:40:41,2024-05-18,Sample status 35
df22a268-d0e2-4d26-9198-5f55906d214e,8191,4646,2384,9563.64,2024-01-13 21:40:41,2024-03-17,Sample status 36
5eb5d40a-1968-490a-8479-cc1402fea4c8,3701,6674,9158,371.47,2024-07-09 21:40:41,2024-06-16,Sample status 37
f0df90c6-c76c-4681-b4c7-b4b5eee3215c,1059,1626,9923,1829.68,2024-05-31 21:40:41,2024-06-09,Sample status 38
b6a18f02-fed9-49dd-9b59-85567c0c5b8b,3120,8908,8202,7908.57,2024-02-08 21:40:41,2024-07-24,Sample status 39
662774a6-138b-4f8d-8652-874c76beb20d,4090,3042,3100,8181.26,2024-03-18 21:40:41,2024-01-19,Sample status 40
ac719b99-c1bf-4d36-b4c9-af9c8d6d140e,2964,9771,6534,8589.99,2024-04-26 21:40:41,2024-01-27,Sample status 41
47521e72-484b-429c-bc1c-5d7252efcfdc,466,9901,3828,5580.98,2024-08-20 21:40:41,2024-09-25,Sample status 42
d6eb1864-9ae6-48fd-a8c7-3aef9afb0048,2301,6418,8413,4821.74,2024-08-10 21:40:41,2024-01-12,Sample status 43
cfc67fe3-d6e2-4466-946d-ce89e824b4de,2430,5845,3489,2860.2,2024-02-23 21:40:41,2024-08-09,Sample status 44
17588ef1-ee9e-4c0a-8d44-c3788aac20d5,3475,2647,6368,4595.29,2023-12-05 21:40:41,2024-06-10,Sample status 45
2665cdc1-2b38-4616-9840-94005a036d61,2537,1056,4691,1499.14,2024-10-11 21:40:41,2024-01-13,Sample status 46
a622cba1-d5d1-4567-a277-86317de812f8,7249,9300,1773,1911.13,2024-01-29 21:40:41,2024-04-30,Sample status 47
23a7ec4e-bda0-4829-aa13-2d16b59a3784,4506,2134,8086,5509.97,2024-10-19 21:40:41,2024-02-01,Sample status 48
4c9dde44-fe3f-46b2-9252-a31e43877b2b,8694,2285,567,386.63,2024-09-04 21:40:41,2024-11-01,Sample status 49
09932801-465c-41c9-90ea-83a9d3343b1e,9796,4481,1621,1359.96,2024-06-14 21:40:41,2024-04-27,Sample status 50
8ceebd41-4d16-4fb0-ad37-94643189dfc7,647,5228,5034,1335.89,2024-11-03 21:40:41,2024-11-01,Sample status 51
5f070ed6-3b01-412c-95d2-e6c1c1e3d4de,9482,1718,4471,5878.97,2024-02-27 21:40:41,2024-10-02,Sample status 52
1bb09c70-800b-4752-9a96-dd2a6ded43b0,1067,7786,3855,9831.55,2024-05-18 21:40:41,2024-07-26,Sample status 53
5f3a4246-7ddc-4b15-8715-e996aa62857c,9767,4708,7457,4837.38,2024-05-15 21:40:41,2024-03-23,Sample status 54
632e7a19-9442-4af7-b3a5-ce90d7eb1aac,7987,9486,6535,8065.15,2024-02-01 21:40:41,2024-11-05,Sample status 55
805082e8-76cd-4b83-8b90-6c9ac37bcb6e,3980,6497,6734,8886.0,2024-03-17 21:40:41,2023-12-21,Sample status 56
07e5f476-8d28-42b8-9892-2725a0244b5b,2612,7701,6205,1196.14,2024-10-24 21:40:41,2023-11-22,Sample status 57
9551d8a5-18c3-4673-b16e-8932f1648e3d,2787,1509,436,9776.96,2024-10-10 21:40:41,2024-07-30,Sample status 58
cf6566ff-c23e-44e8-a451-0717af284b0d,1323,4183,1674,3953.94,2023-12-13 21:40:41,2024-09-05,Sample status 59
8d58eb35-3b81-472b-9fc0-e0a0ffb92267,8353,877,8216,7657.14,2023-12-03 21:40:41,2024-01-15,Sample status 60
b2cea532-e685-4aab-bc2e-6b588ef936f9,757,502,9229,4481.34,2024-04-16 21:40:41,2024-02-03,Sample status 61
3425fd2d-7627-42c5-91e4-8294c40f4236,7994,3055,1885,8055.81,2024-03-27 21:40:41,2024-01-23,Sample status 62
